date,year,meeting_id,statement_url,minutes_url
2007-12-11,2007,2007-12-11,https://www.federalreserve.gov/newsevents/press/monetary/20071211a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20071211.htm
2008-01-30,2008,2008-01-30,https://www.federalreserve.gov/newsevents/press/monetary/20080130a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080130.htm
2008-03-18,2008,2008-03-18,https://www.federalreserve.gov/newsevents/press/monetary/20080318a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080318.htm
2008-04-30,2008,2008-04-30,https://www.federalreserve.gov/newsevents/press/monetary/20080430a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080430.htm
2008-06-25,2008,2008-06-25,https://www.federalreserve.gov/newsevents/press/monetary/20080625a.htm,https://www.federalreserve.gov/monetarypolicy/fomc20080625.htm
2008-08-05,2008,2008-08-05,https://www.federalreserve.gov/newsevents/press/monetary/20080805a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080805.htm
2008-09-16,2008,2008-09-16,https://www.federalreserve.gov/newsevents/press/monetary/20080916a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080916.htm
2008-10-29,2008,2008-10-29,https://www.federalreserve.gov/newsevents/press/monetary/20081029a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20081029.htm
2008-12-16,2008,2008-12-16,https://www.federalreserve.gov/newsevents/press/monetary/20081216b.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20081216.htm
2009-01-28,2009,2009-01-28,https://www.federalreserve.gov/newsevents/press/monetary/20090128a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090128.htm
2009-03-18,2009,2009-03-18,https://www.federalreserve.gov/newsevents/press/monetary/20090318a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090318.htm
2009-04-29,2009,2009-04-29,https://www.federalreserve.gov/newsevents/press/monetary/20090429a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090429.htm
2009-06-24,2009,2009-06-24,https://www.federalreserve.gov/newsevents/press/monetary/20090624a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090624.htm
2009-08-12,2009,2009-08-12,https://www.federalreserve.gov/newsevents/press/monetary/20090812a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090812.htm
2009-09-23,2009,2009-09-23,https://www.federalreserve.gov/newsevents/press/monetary/20090923a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090923.htm
2009-11-04,2009,2009-11-04,https://www.federalreserve.gov/newsevents/press/monetary/20091104a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20091104.htm
2009-12-16,2009,2009-12-16,https://www.federalreserve.gov/newsevents/press/monetary/20091216a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20091216.htm
2010-01-27,2010,2010-01-27,https://www.federalreserve.gov/newsevents/press/monetary/20100127a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100127.htm
2010-03-16,2010,2010-03-16,https://www.federalreserve.gov/newsevents/press/monetary/20100316a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100316.htm
2010-04-28,2010,2010-04-28,https://www.federalreserve.gov/newsevents/press/monetary/20100428a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100428.htm
2010-06-23,2010,2010-06-23,https://www.federalreserve.gov/newsevents/press/monetary/20100623a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100623.htm
2010-08-10,2010,2010-08-10,https://www.federalreserve.gov/newsevents/press/monetary/20100810a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100810.htm
